Timestep	Mean100Reward	BestMeanReward	episodes	exploration	learning_rate
10000	-231.98537428989349	-inf	74	0.804	0.001
20000	-192.49500020084037	-192.49500020084037	113	0.608	0.001
30000	-175.3848323779647	-175.35598520539622	125	0.41200000000000003	0.001
40000	-167.63579580327144	-167.04326166689637	135	0.21599999999999997	0.001
50000	-146.81599099957316	-145.78382577192622	146	0.02	0.001
60000	-120.64634459374402	-120.64634459374402	166	0.02	0.001
70000	-92.35389802670345	-92.35389802670345	185	0.02	0.001
80000	-65.43984502434454	-65.43984502434454	200	0.02	0.001
90000	-47.3508440242958	-47.3508440242958	215	0.02	0.001
100000	-31.17136013136922	-31.17136013136922	231	0.02	0.001
110000	-13.4181253116272	-13.4181253116272	247	0.02	0.001
120000	14.97959791361302	14.97959791361302	266	0.02	0.001
130000	23.785397835254198	26.036726136143237	282	0.02	0.001
140000	29.649941564910623	29.649941564910623	297	0.02	0.001
150000	30.807184423841807	32.32591534678583	310	0.02	0.001
160000	31.07917154166582	34.65817922714326	328	0.02	0.001
170000	32.3618326042682	34.65817922714326	343	0.02	0.001
180000	33.82245028023875	35.21204691240188	364	0.02	0.001
190000	43.446720014299174	43.446720014299174	386	0.02	0.001
200000	62.932488788594235	62.932488788594235	416	0.02	0.001
210000	83.09020921323764	83.83668704455137	441	0.02	0.001
220000	70.42328991942409	88.07029088050216	469	0.02	0.001
230000	76.0946034658593	88.07029088050216	505	0.02	0.001
240000	84.55609269636957	88.07029088050216	542	0.02	0.001
250000	104.32731906847637	104.32731906847637	567	0.02	0.001
260000	112.39274547334303	118.37332102207992	595	0.02	0.001
270000	107.8988439559089	118.37332102207992	628	0.02	0.001
280000	112.5275688417277	118.37332102207992	662	0.02	0.001
290000	117.75819915200617	121.57334683154936	701	0.02	0.001
300000	118.80377058433658	125.72795151603621	749	0.02	0.001
310000	125.39064805715107	125.72795151603621	789	0.02	0.001
320000	131.57879695199514	134.31204567862903	840	0.02	0.001
330000	115.0198815233185	135.14071225288788	888	0.02	0.001
340000	101.6833004678556	135.14071225288788	934	0.02	0.001
350000	108.21633822927983	135.14071225288788	984	0.02	0.001
360000	113.27237229466604	135.14071225288788	1031	0.02	0.001
370000	133.45519605079298	137.09561847593446	1084	0.02	0.001
380000	156.55802511037538	156.7786902659751	1133	0.02	0.001
390000	158.2760891618653	164.89563607682862	1186	0.02	0.001
400000	153.93235330723866	165.51980139393947	1238	0.02	0.001
410000	146.69021486560075	165.51980139393947	1288	0.02	0.001
420000	150.01076721298213	165.51980139393947	1342	0.02	0.001
430000	158.79379124375774	165.51980139393947	1404	0.02	0.001
440000	147.75582745557523	165.51980139393947	1469	0.02	0.001
450000	153.67599923638016	165.51980139393947	1539	0.02	0.001
460000	151.5925002834362	165.83092637071266	1611	0.02	0.001
470000	128.76801181722757	165.83092637071266	1682	0.02	0.001
480000	122.28743700389845	165.83092637071266	1757	0.02	0.001
490000	111.77364177157676	165.83092637071266	1831	0.02	0.001
500000	63.58572958162412	165.83092637071266	1906	0.02	0.001
