Timestep	Mean100Reward	BestMeanReward	episodes	exploration	learning_rate
10000	-206.4667609135933	-inf	75	0.804	0.01
20000	-179.10953753775019	-175.08962777800878	114	0.608	0.01
30000	-162.53102680751323	-162.53102680751323	128	0.41200000000000003	0.01
40000	-150.55530934491628	-150.55530934491628	142	0.21599999999999997	0.01
50000	-133.988540891937	-133.2947288605846	155	0.02	0.01
60000	-101.88069960493507	-101.88069960493507	174	0.02	0.01
70000	-111.4436775782659	-101.88069960493507	194	0.02	0.01
80000	-98.01773947146745	-95.3200728399898	214	0.02	0.01
90000	-92.01929062879505	-92.01929062879505	233	0.02	0.01
100000	-54.23936731636179	-50.96933090433766	262	0.02	0.01
110000	-18.17788607216375	-17.43125756026312	300	0.02	0.01
120000	11.558978300009189	11.558978300009189	334	0.02	0.01
130000	-4.117208457661243	13.122483546039208	375	0.02	0.01
140000	-3.1822242825237073	13.122483546039208	419	0.02	0.01
150000	-8.238575513273661	13.122483546039208	469	0.02	0.01
160000	-11.171480870793834	13.122483546039208	520	0.02	0.01
170000	5.626135467827835	13.122483546039208	568	0.02	0.01
180000	17.66733922020965	23.70080321617227	613	0.02	0.01
190000	7.534633474644847	23.70080321617227	663	0.02	0.01
200000	-24.865322550319785	23.70080321617227	706	0.02	0.01
210000	-45.66117657562491	23.70080321617227	748	0.02	0.01
220000	-48.663190900489646	23.70080321617227	790	0.02	0.01
230000	-11.653196114177362	23.70080321617227	834	0.02	0.01
240000	22.101163189936095	23.70080321617227	864	0.02	0.01
250000	38.51594145249298	39.77786897119477	899	0.02	0.01
260000	20.514291991743725	39.77786897119477	928	0.02	0.01
270000	-13.12837075838898	39.77786897119477	955	0.02	0.01
280000	-43.621000807899655	39.77786897119477	999	0.02	0.01
290000	-19.820189089647283	39.77786897119477	1026	0.02	0.01
300000	-10.488770533529486	39.77786897119477	1047	0.02	0.01
310000	-7.704332219597993	39.77786897119477	1090	0.02	0.01
320000	-48.158461510122976	39.77786897119477	1133	0.02	0.01
330000	-54.764024973779485	39.77786897119477	1178	0.02	0.01
340000	-34.035627635850275	39.77786897119477	1237	0.02	0.01
350000	-8.622128779947008	39.77786897119477	1301	0.02	0.01
360000	-7.135604314846585	39.77786897119477	1355	0.02	0.01
370000	-19.715919348374644	39.77786897119477	1416	0.02	0.01
380000	-26.96441819430593	39.77786897119477	1467	0.02	0.01
390000	-74.07180647639909	39.77786897119477	1514	0.02	0.01
400000	-75.4538252092494	39.77786897119477	1572	0.02	0.01
410000	-60.678890446994586	39.77786897119477	1622	0.02	0.01
420000	-77.82568936483607	39.77786897119477	1670	0.02	0.01
430000	-85.56110417715676	39.77786897119477	1725	0.02	0.01
440000	-65.37842711193166	39.77786897119477	1792	0.02	0.01
450000	-103.10089230814869	39.77786897119477	1857	0.02	0.01
460000	-141.17341308824186	39.77786897119477	1904	0.02	0.01
470000	-209.8577868562501	39.77786897119477	1959	0.02	0.01
480000	-200.35689181857705	39.77786897119477	2018	0.02	0.01
490000	-216.70954275829223	39.77786897119477	2082	0.02	0.01
500000	-255.9505002953666	39.77786897119477	2141	0.02	0.01
