Timestep	Mean100Reward	BestMeanReward	episodes	exploration	learning_rate
60000	-20.142857142857142	-inf	63	0.946	0.0001
70000	-20.14864864864865	-inf	74	0.9369999999999999	0.0001
80000	-20.141176470588235	-inf	85	0.9279999999999999	0.0001
90000	-20.177083333333332	-inf	96	0.919	0.0001
100000	-20.18	-20.15	107	0.91	0.0001
110000	-20.12	-20.12	117	0.901	0.0001
120000	-20.1	-20.09	128	0.892	0.0001
130000	-20.12	-20.09	138	0.883	0.0001
140000	-20.16	-20.09	149	0.874	0.0001
150000	-20.22	-20.09	160	0.865	0.0001
160000	-20.21	-20.09	171	0.856	0.0001
170000	-20.28	-20.09	182	0.847	0.0001
180000	-20.29	-20.09	192	0.838	0.0001
190000	-20.24	-20.09	203	0.829	0.0001
200000	-20.28	-20.09	214	0.82	0.0001
210000	-20.3	-20.09	224	0.8109999999999999	0.0001
220000	-20.26	-20.09	235	0.802	0.0001
230000	-20.23	-20.09	246	0.7929999999999999	0.0001
240000	-20.22	-20.09	256	0.784	0.0001
250000	-20.2	-20.09	267	0.775	0.0001
260000	-20.21	-20.09	278	0.766	0.0001
270000	-20.16	-20.09	289	0.757	0.0001
280000	-20.14	-20.09	299	0.748	0.0001
290000	-20.19	-20.09	309	0.739	0.0001
300000	-20.13	-20.09	319	0.73	0.0001
310000	-20.11	-20.08	329	0.721	0.0001
320000	-20.09	-20.08	339	0.712	0.0001
330000	-20.03	-20.02	349	0.703	0.0001
340000	-20.04	-20.02	359	0.694	0.0001
350000	-19.98	-19.98	368	0.685	0.0001
360000	-19.86	-19.85	377	0.6759999999999999	0.0001
370000	-19.84	-19.79	387	0.667	0.0001
380000	-19.81	-19.79	397	0.6579999999999999	0.0001
390000	-19.72	-19.72	406	0.649	0.0001
400000	-19.61	-19.61	415	0.6399999999999999	0.0001
410000	-19.66	-19.61	425	0.631	0.0001
420000	-19.6	-19.59	434	0.622	0.0001
430000	-19.65	-19.58	444	0.613	0.0001
440000	-19.69	-19.58	453	0.604	0.0001
450000	-19.68	-19.58	463	0.595	0.0001
460000	-19.64	-19.58	472	0.586	0.0001
470000	-19.67	-19.58	481	0.577	0.0001
480000	-19.55	-19.55	489	0.5680000000000001	0.0001
490000	-19.58	-19.55	498	0.5589999999999999	0.0001
500000	-19.52	-19.52	507	0.55	0.0001
510000	-19.53	-19.51	515	0.5409999999999999	0.0001
520000	-19.46	-19.46	524	0.532	0.0001
530000	-19.44	-19.43	531	0.5229999999999999	0.0001
540000	-19.34	-19.34	539	0.514	0.0001
550000	-19.22	-19.22	547	0.5049999999999999	0.0001
560000	-19.11	-19.11	554	0.4959999999999999	0.0001
570000	-19.09	-19.09	562	0.487	0.0001
580000	-19.13	-19.09	570	0.478	0.0001
590000	-19.1	-19.09	576	0.469	0.0001
600000	-19.06	-19.05	583	0.45999999999999996	0.0001
610000	-19.0	-19.0	590	0.45099999999999996	0.0001
620000	-18.83	-18.83	596	0.44199999999999995	0.0001
630000	-18.73	-18.73	601	0.43299999999999994	0.0001
640000	-18.78	-18.72	608	0.42399999999999993	0.0001
