Timestep	Mean100Reward	BestMeanReward	episodes	exploration	learning_rate
60000	-20.203125	-inf	64	0.946	0.0001
70000	-20.266666666666666	-inf	75	0.9369999999999999	0.0001
80000	-20.290697674418606	-inf	86	0.9279999999999999	0.0001
90000	-20.275510204081634	-inf	98	0.919	0.0001
100000	-20.26	-20.24	108	0.91	0.0001
110000	-20.21	-20.21	118	0.901	0.0001
120000	-20.14	-20.14	129	0.892	0.0001
130000	-20.15	-20.12	139	0.883	0.0001
140000	-20.21	-20.12	150	0.874	0.0001
150000	-20.23	-20.12	161	0.865	0.0001
160000	-20.21	-20.12	171	0.856	0.0001
170000	-20.15	-20.12	182	0.847	0.0001
180000	-20.15	-20.11	193	0.838	0.0001
190000	-20.14	-20.11	203	0.829	0.0001
200000	-20.18	-20.11	215	0.82	0.0001
210000	-20.18	-20.11	225	0.8109999999999999	0.0001
220000	-20.26	-20.11	237	0.802	0.0001
230000	-20.21	-20.11	247	0.7929999999999999	0.0001
240000	-20.22	-20.11	258	0.784	0.0001
250000	-20.22	-20.11	269	0.775	0.0001
260000	-20.27	-20.11	280	0.766	0.0001
270000	-20.28	-20.11	291	0.757	0.0001
280000	-20.24	-20.11	302	0.748	0.0001
290000	-20.19	-20.11	312	0.739	0.0001
300000	-20.19	-20.11	323	0.73	0.0001
310000	-20.17	-20.11	333	0.721	0.0001
320000	-20.24	-20.11	344	0.712	0.0001
330000	-20.11	-20.11	353	0.703	0.0001
340000	-20.07	-20.05	364	0.694	0.0001
350000	-20.04	-20.04	374	0.685	0.0001
360000	-20.03	-20.0	385	0.6759999999999999	0.0001
370000	-20.05	-20.0	395	0.667	0.0001
380000	-20.02	-20.0	405	0.6579999999999999	0.0001
390000	-20.07	-20.0	416	0.649	0.0001
400000	-20.05	-20.0	426	0.6399999999999999	0.0001
410000	-20.04	-20.0	435	0.631	0.0001
420000	-19.98	-19.97	445	0.622	0.0001
430000	-20.04	-19.97	454	0.613	0.0001
440000	-20.09	-19.97	464	0.604	0.0001
450000	-20.05	-19.97	474	0.595	0.0001
460000	-19.97	-19.97	482	0.586	0.0001
470000	-19.9	-19.9	491	0.577	0.0001
480000	-19.87	-19.86	501	0.5680000000000001	0.0001
490000	-19.77	-19.77	510	0.5589999999999999	0.0001
500000	-19.7	-19.7	518	0.55	0.0001
510000	-19.63	-19.63	527	0.5409999999999999	0.0001
520000	-19.48	-19.48	535	0.532	0.0001
530000	-19.4	-19.39	543	0.5229999999999999	0.0001
540000	-19.27	-19.27	550	0.514	0.0001
550000	-19.06	-19.06	557	0.5049999999999999	0.0001
560000	-18.95	-18.95	564	0.4959999999999999	0.0001
570000	-18.77	-18.77	572	0.487	0.0001
